x,y,,,,,left_frame_x,left_frame_y,right_frame_x,right_frame_y
1816.8,1375.95,39.2026,64.3044,367.954,240.709,1920.3,767.291,1895.2,767.291
1817.12,1371.86,38.8796,63.7745,363.865,238.034,1919.77,769.966,1894.88,769.966
1816.98,1384.1,39.0209,64.0063,376.1,246.037,1920.01,761.963,1895.02,761.963
1817.01,1380.78,38.9873,63.9512,372.779,243.865,1919.95,764.135,1894.99,764.135
1816.88,1377.87,39.1205,64.1697,369.871,241.963,1920.17,766.037,1895.12,766.037
1816.88,1372.89,39.1247,64.1766,364.894,238.707,1920.18,769.293,1895.12,769.293
1817.26,1367,38.7352,63.5377,358.999,234.851,1919.54,773.149,1894.74,773.149
1817.93,1360.89,38.0664,62.4406,352.895,230.857,1918.44,777.143,1894.07,777.143
1817.98,1355.59,38.0218,62.3674,347.588,227.386,1918.37,780.614,1894.02,780.614
1817.5,1363.41,38.5049,63.16,355.407,232.501,1919.16,775.499,1894.5,775.499
1818.3,1358.13,37.7027,61.844,350.133,229.05,1917.84,778.95,1893.7,778.95
1818.71,1352.23,37.2903,61.1676,344.229,225.188,1917.17,782.812,1893.29,782.812
1819.26,1347.12,36.7375,60.2608,339.118,221.845,1916.26,786.155,1892.74,786.155
1819.89,1342.79,36.1061,59.2251,334.791,219.014,1915.23,788.986,1892.11,788.986
1820.33,1339.14,35.6698,58.5094,331.142,216.627,1914.51,791.373,1891.67,791.373
1820.5,1335.77,35.4992,58.2296,327.767,214.419,1914.23,793.581,1891.5,793.581
1820.37,1332.63,35.6347,58.4519,324.63,212.367,1914.45,795.633,1891.63,795.633
1820.53,1335.41,35.4689,58.1799,327.411,214.186,1914.18,793.814,1891.47,793.814
1820.69,1331.92,35.3116,57.9219,323.92,211.902,1913.92,796.098,1891.31,796.098
1821.38,1329.17,34.6247,56.7952,321.166,210.101,1912.8,797.899,1890.62,797.899
1821.66,1326.5,34.3431,56.3332,318.502,208.358,1912.33,799.642,1890.34,799.642
1821.76,1323.7,34.2413,56.1663,315.701,206.526,1912.17,801.474,1890.24,801.474
1822.04,1319.99,33.9588,55.7028,311.986,204.096,1911.7,803.904,1889.96,803.904
1822.01,1315.64,33.9873,55.7497,307.637,201.251,1911.75,806.749,1889.99,806.749
1823.28,1303.32,32.7165,53.6651,295.321,193.193,1909.67,814.807,1888.72,814.807
1823.7,1297.9,32.2969,52.9768,289.898,189.646,1908.98,818.354,1888.3,818.354
1823.91,1293.09,32.0911,52.6392,285.085,186.498,1908.64,821.502,1888.09,821.502
1823.89,1287.82,32.114,52.6769,279.819,183.053,1908.68,824.947,1888.11,824.947
1822.98,1282.92,33.0186,54.1606,274.919,179.847,1910.16,828.153,1889.02,828.153
1823.16,1277.16,32.842,53.871,269.16,176.08,1909.87,831.92,1888.84,831.92
1822.77,1270.31,33.2304,54.5081,262.312,171.6,1910.51,836.4,1889.23,836.4
1822.9,1264.98,33.1032,54.2995,256.98,168.112,1910.3,839.888,1889.1,839.888
1830.43,1263.53,25.5691,41.9412,255.526,167.16,1897.94,840.84,1881.57,840.84
1829.87,1257.27,26.1254,42.8537,249.272,163.069,1898.85,844.931,1882.13,844.931
1829.39,1251.94,26.6073,43.6442,243.943,159.583,1899.64,848.417,1882.61,848.417
1829.22,1245.91,26.7759,43.9208,237.914,155.639,1899.92,852.361,1882.78,852.361
1828.37,1240.59,27.6306,45.3227,232.59,152.156,1901.32,855.844,1883.63,855.844
1827.79,1234.77,28.2145,46.2804,226.766,148.346,1902.28,859.654,1884.21,859.654
1824.52,1237.71,31.4845,51.6443,229.707,150.27,1907.64,857.73,1887.48,857.73
1824.43,1230.34,31.5724,51.7885,222.341,145.451,1907.79,862.549,1887.57,862.549
1824.3,1222.06,31.701,51.9994,214.057,140.032,1908,867.968,1887.7,867.968
1824.1,1215.21,31.8982,52.3228,207.212,135.554,1908.32,872.446,1887.9,872.446
1823.51,1208.69,32.4865,53.2878,200.691,131.288,1909.29,876.712,1888.49,876.712
1822.65,1203.65,33.3467,54.6989,195.655,127.994,1910.7,880.006,1889.35,880.006
1822.03,1198.26,33.9715,55.7238,190.261,124.466,1911.72,883.534,1889.97,883.534
1822.89,1198.1,33.107,54.3057,190.1,124.36,1910.31,883.64,1889.11,883.64
1822.16,1195.05,33.836,55.5015,187.048,122.364,1911.5,885.636,1889.84,885.636
1821.93,1192.07,34.0656,55.8781,184.069,120.415,1911.88,887.585,1890.07,887.585
1821.37,1191.28,34.6258,56.797,183.279,119.898,1912.8,888.102,1890.63,888.102
1821.17,1190.15,34.8319,57.135,182.153,119.161,1913.13,888.839,1890.83,888.839
1820.32,1190.56,35.6849,58.5342,182.556,119.425,1914.53,888.575,1891.68,888.575
1819.28,1191.76,36.7209,60.2337,183.764,120.215,1916.23,887.785,1892.72,887.785
1818.58,1192.78,37.4166,61.3748,184.781,120.881,1917.37,887.119,1893.42,887.119
1818.87,1196.82,37.1334,60.9102,188.815,123.519,1916.91,884.481,1893.13,884.481
1818.09,1197.74,37.9137,62.1901,189.739,124.124,1918.19,883.876,1893.91,883.876
1816.64,1200.3,39.3642,64.5695,192.298,125.798,1920.57,882.202,1895.36,882.202
1815.79,1201.47,40.2144,65.964,193.471,126.565,1921.96,881.435,1896.21,881.435
1815.02,1201.7,40.9809,67.2213,193.699,126.714,1923.22,881.286,1896.98,881.286
1814.06,1201.7,41.9415,68.797,193.701,126.716,1924.8,881.284,1897.94,881.284
1813.58,1201.45,42.4164,69.5759,193.449,126.551,1925.58,881.449,1898.42,881.449
1814.23,1218.82,41.7744,68.5229,210.819,137.914,1924.52,870.086,1897.77,870.086
1813.92,1219.11,42.0788,69.0221,211.11,138.105,1925.02,869.895,1898.08,869.895
1813.47,1219.87,42.5292,69.761,211.868,138.6,1925.76,869.4,1898.53,869.4
1813.02,1220.05,42.9814,70.5027,212.052,138.721,1926.5,869.279,1898.98,869.279
1812.99,1221.04,43.0102,70.5501,213.042,139.368,1926.55,868.632,1899.01,868.632
1813.05,1221.57,42.9487,70.4491,213.567,139.712,1926.45,868.288,1898.95,868.288
1812.73,1222.86,43.2693,70.975,214.856,140.555,1926.98,867.445,1899.27,867.445
1813.11,1224.14,42.8895,70.352,216.137,141.393,1926.35,866.607,1898.89,866.607
1810.22,1203.89,45.7751,75.0853,195.892,128.149,1931.09,879.851,1901.78,879.851
1810.21,1204.34,45.7868,75.1045,196.344,128.445,1931.1,879.555,1901.79,879.555
1810.59,1204.22,45.4124,74.4902,196.216,128.361,1930.49,879.639,1901.41,879.639
1811.04,1203.98,44.955,73.7401,195.983,128.208,1929.74,879.792,1900.96,879.792
1810.96,1203.66,45.0434,73.885,195.659,127.996,1929.89,880.004,1901.04,880.004
1810.72,1202.95,45.2802,74.2735,194.947,127.531,1930.27,880.469,1901.28,880.469
1810.81,1201.79,45.1886,74.1232,193.795,126.777,1930.12,881.223,1901.19,881.223
1815.56,1195.26,40.4371,66.3293,187.263,122.504,1922.33,885.496,1896.44,885.496
